Board;Level;Paper;Year;Session;Title;Excerpt;Content;Verified Explanation;Tags
Edexcel;A;7707 - Accounting;2014;May Jun;How can the heart be strong enough to pump blood up your legs against gravity?;The heart is not strong enough by itself to get the blood back up the veins in your legs and back to your heart. The human body relies on a second system to finish that task. This system involves small valves throughout the veins and muscle contractions from your skeletal muscles when you walk and move about.;"The valves close when blood starts to flow in one direction, so that blood in the veins can only flow in the direction back to the heart, which is up the legs. When you squeeze your leg muscles to walk, stand, kick, and move about, the muscles squeeze the veins and force the blood to get moving. Because of the valves, the blood can only move in one direction as it gets squeezed along. So it is a combination of blood pressure from the heart's pumping action, the valves, and muscle movement that gets the blood up the legs against gravity. If the valves malfunction, then the blood falls back down to some extent after every muscle contraction and begins to pool in the veins. This causes the veins to swell with blood, which can be painful and unsightly, and is known as varicose veins.

The book Varicose Veins and Related Disorders by David J. Tibbs states:";"Gravity is an ever-present force against which the limb's venous system is designed to compete in the upright position. If the valves fail, it is gravity that causes any blood that has been shifted upwards to fall back again and this has various effects. In the superficial veins it may cause visible tortuosity (varicose veins) but, much more damaging, the reflux of blood through superficial or deep veins may cause the rapid build up of an uninterrupted column of blood to the heart with consequent high venous pressure at the ankle... Only the peripheral pumping mechanism (musculovenous pumping) can cause full venous flow against gravity. This forceful pumping action is brought about when multiple veins are compressed by contraction of surrounding skeletal muscle (Figure 1.3). The valves direct the blood heartwards and prevent it from falling back again. Thus, by this simple arrangment, the harder the muscles work, the more vigorously is the massive flow of blood generated by this activity returned towards the heart.

Put simply, if you want to literally get the blood flowing in your legs, walk around and get your leg muscles moving.";kept,flat,behavior,gently,not
Edexcel;A;7110 - Principles of Accounts;2008;May Jun;"How can we differentiate so many different foods if we can only taste four flavors on our tongue: sweet, bitter, sour, and salty?
";"Humans can taste more than four flavors on their tongue. Depending on how narrowly you define ""taste"", there are between five and several dozen independently experienced sensations on the tongue, according to the book ""Taste and Smell: An Update"" by Thomas Hummel. The seven most common flavors in food that are directly detected by the tongue are: sweet, bitter, sour, salty, meaty (umami), cool, and hot.";"Note that ""cool"" and ""hot"" tastes do not refer to actual low or high temperatures being present, but rather to foods that chemically trigger a sensation that is similar to cool or hot sensations. Sweet flavors come from things like candy and fruits. Bitter flavors come from many vegetables and unsweetened chocolate. Sour flavors are contained in anything with acid, such as citrus fruits or vinegar. Salty flavors obviously come from anything with salt, such as chips or nuts. Meaty flavors come from anything with glutamates such as soy sauce, cheese, and meat. Cool flavors come from certain chemicals such as in mint and menthol. Hot flavors come from other chemicals such as in chili peppers and black peppers. Beyond these seven basic tastes, there are several other flavors that researchers have found receptors for, including calcium, dryness, fattiness, heartiness, and numbness.";But returning back to the original question, it is true that humans experience far more flavors than the tongue can detect. The reason for this is that the nose plays an integral part in the experience of taste, and the nose can detect thousands of different smells.;bell,west,basis,personal,liquid
Cambridge;A;5070 - Chemistry;2015;Aug Sep;"How can we unlock the 90% of our brain that we never use?
";Healthy humans use all of their brain. There is no part of the brain that goes unused. Certain tasks work certain parts of the brain more, but they all play important roles, as explained by neurobiologist Dr. Eric Chudler. Brain maps, as found in modern anatomy books, indicate that each part of the brain has a specific function essential to a healthy human. If there were a part of your brain that really went unused, then you could safely damage that part in an accident with no ill effects.;"But decades of medical records show that damage to any part of the brain has severe effects. If 90% of the brain were not used, then 90% of the brain tumors would cause no problem. Imagine brain doctors telling 90% of their cancer patients, ""I have good news and bad news. Bad news: you have a brain tumor. Good news: it's in the part of the brain that you will never use."" The thought is absurd.

If the 10% myth is instead supposed to mean that humans only use 10% of their brain in a given moment, it is still false. The brain is not a collection of independent machines that are turned on or off depending on whether you are reading or singing. Rather, brain functions emerge as a complex interplay of many parts of the brain. Physiologically, nerves are like muscles in that they degenerate when unused. If 90% of the brain went completely unused, then that portion would degenerate significantly.";But brain scans of a healthy person reveals all parts to be intact. This myth was propagated by authors trying to sell books on mystical ways to unlock your hidden potential, claiming that unused brain power could be tapped using the methods in their books. The greatest danger to your brain is not the possibility that a large portion is going on unused. Rather, the greatest dangers are stroke, Alzheimer's disease, and tumors. The best ways to protect yourself from such risks include eating healthy, exercising, and getting enough rest. Do you really want to use your brain to its full potential? Then put down your unlocking-hidden-brain-potential book and go on a run.;bend,sitting,determine,them,valley
Edexcel;A;7010 - Computer Studies;2005;Aug Sep;"How did doctors create my belly button?
";Doctors did not create your belly button (or navel). The navel is not the scar or knot left by a doctor that cut your umbilical cord at birth. This fact is obvious to anyone that has ever had children or bathed newborns, but it is sometimes misunderstood by others. While you were in your mother's womb, your umbilical cord attached to your navel at one end and to your placenta at the other end. ;"The placenta is a pancake-shaped mass of blood vessels that attaches to the wall of the mother's uterus. Food that your mother ate and oxygen that she breathed went into her blood, and then was carried to her uterus. Where your placenta and your mother's uterus touched, the food and oxygen was exchanged from your mother's blood to your blood. Your blood than carried the nutrients from the placenta, down the umbilical cord, through your navel, and into your body.

Once you were born, you no longer needed to get food and oxygen through your navel, as you could now get them through your mouth. As a result, the umbilical cord was no longer needed and your body had a natural way of getting rid of the cord. On its own, your body closed up the point where the umbilical cord joined your body and formed your belly button. When the doctor or midwife that assisted during your birth cut your umbilical cord, he or she cut it several millimeters away from the end of the cord, leaving a piece of the cord still hanging off your belly. He or she did this to let the body form a well-shaped belly button on its own. The remaining peice of umbilical cord is called a stump. A few days to weeks after your birth, when your body had formed a properly closed bell button, the stump fell off naturally like a scab falling off of a healed wound (assuming you did not have abnormalities at birth). The Mayo Clinic Guide to Your Baby's First Year states,";After your newborn's umbilical cord is cut, all that remains is a small stump. In most cases, the remaining cord will dry up and fall off one to three weeks after birth. Until then, you want to keep the area as clean and dry as possible. It's a good idea to give sponge baths rather than full baths until the cord falls off and the navel area heals...Exposing the cord to air and allowing it to dry at its base will hasten its separation. To prevent irritation and keep the navel area dry, fold the baby's diaper below the stump. In warm weather, dress a newborn in just a diaper and T-shirt to let air circulate and help the drying process.;tightly,actual,properly,enjoy,lead
Cambridge;A;5054 - Physics;2004;Aug Sep;"How did evolution ever lead ostriches to hide their head in the sand when an enemy approaches?
";"Ostriches never hide their head in the sand, especially not when approached by an enemy. In fact, ostriches can become quite aggressive when threatened. According to the book ""Flightless Birds"" by Clive Roots, ostriches respond to predators by either running away or attacking. Ostriches have very powerful legs and have been known to kill people with a slashing kick. When fleeing danger, ostriches can reach 50 mph and can sustain a speed of 30 mph for a half hour. This myth perhaps comes from the fact that ostriches have long necks and small heads so that when they are bending over to swallow sand, it looks like their head is buried. But harboring the notion that ostriches are dumb and harmless can be a deadly mistake for humans to make.";;;were,energy,parallel,human,coast
Edexcel;O;2210 - Computer Science;2018;Aug Sep;"How do I turn on more parts of my brain and get smarter?
";"Turning on more parts of your brain does not make you smarter. The brain does not really work that way. An example of a brain experiencing high activation is a seizure. During a seizure, a person has severely decreased functioning and mental capability. A person having a seizure can't talk, can't walk, and can't do math problems. This extreme example should make clear that ""turning on more of the brain"" does not equal ""smarter"".";"The brain contains a complex network of neurons that includes many feedback loops. Thoughts, memories, and calculations in the brain are emergent phenomena that arise out of the interplay of many neurons. A new idea is not stored in a single neuron. Rather, an idea is stored in the way many neurons are connected together. More specifically, an idea is stored in the way a brain signal travels through these connections in a cascading, looping, non-linear fashion. The analogy that the brain works like a computer is completely wrong. Standard microchip computers are deterministic, linear, and have localized processing operations. This type of processing is excellent for doing long mathematical calculations and carrying out deterministic actions such as displaying photos or editing text documents. However, this type of processing is terrible at generating creativity, recognizing patterns in complex systems, attaching value to information, extrapolating complex trends, learning new skills, and generalizing data into a small set of principles. In contrast to computers, the brain is non-deterministic, asynchronous, non-linear, and has delocalized processing operations. In this way, the brain is really the opposite of a traditional microchip computer; it is good at generating creativity, recognizing patterns, evaluating information, extrapolating trends, learning new skills, and generalizing data; but it is bad at doing long numerical calculations. Since a computer is linear and deterministic, you can make it more powerful simply by installing more processor cores and more RAM. In contrast, the brain is non-linear and non-deterministic, so turning on more neurons at once won't make the brain smarter.

These comments lead to the question, ""How does a person get smart?"" My response is, ""What do you mean by smart?"" I do not give this response to be evasive. My response gets at the core of how a brain works. Strictly speaking, your brain is always getting smart in some way, whether you are working at it or not (assuming your brain is generally healthy). Your brain is always processing the external world, finding patterns, forming memories, and learning information. From a neurological perspective, skipping your math homework and watching cartoons instead does not make your brain any less smart. It just makes your brain good at reciting cartoon theme songs instead of being good at solving math problems. If your job is to recite cartoon theme songs on stage, then watching cartoons will make you smarter than completing your math homework will. With this in mind, ""smart"" does not really mean using your brain more. Assuming you are generally healthy, you always use the optimal amount of brain power whether you try to or not. ""Smart"" means using your brain to learn the information and skills that are important to you.

The fields of mathematics, science, language, and history all contain facts, concepts, and skills that pertain to the real world. These concepts and skills either exist in the real world, are applicable to the real word, or are useful in carrying out professions in the real world. For these reasons, the learning of concepts and skills in mathematics, science, language, and history has become culturally associated with being smart. But a person who drops out of school and spends all of his time enjoying video games, television, movies, and fantasy books is still smart in the neurological sense of learning things and filling his brain with information. He is just smart in areas that are mostly useless, non-productive, and non-employable. Note that making a video game is entirely different from playing a video game. Memorizing where all the treasures are hidden in your favorite video game does not make you more able to get a job designing games. It takes mathematics, language, art, and programming skills to build virtual worlds. That is what I mean when I say that the knowledge and skills gained by playing video games are mostly useless, non-productive, and non-employable.

In short, the way to get smart is to decide what field is important to you, and then spend a lot of time working and learning in that field. If you want to get good at math, do math problems again and again. Furthermore, you have to put in the work to make sure you learn to do the math problems correctly. If you want to get good at playing the violin, practice every day. There is no magical way to learn a subject without putting in the hard work and time.";"With that said, there are more effective ways of learning a subject than others. As mentioned previously, the human brain is constructed so that it is good at recognizing and learning patterns. Therefore, you will learn a subject more quickly if you first learn the rules, and then connect the information into patterns using the rules as you go. For instance, learning how to read by going through a list of 5000 of the most common words and simply memorizing the sound of each word is slow and tedious. In contrast, mastering a few dozen phonics rules is much more effective. As another example, memorizing a list of battle names and dates in a particular war is less productive. In contrast, it is more effective to first learn about war heroes, weapons technology, basic geography, and the war strategies that were used; and then connect the names and dates of the battles to these concepts. Creating maps, charts, timelines, and biographies is far more effective for learning history than memorizing unconnected list of facts because the human brain is optimized for seeing and learning patterns.";properly,danger,product,word,clean
Edexcel;A;3204 - Bengali;2002;Oct Nov;"How do nerves control every organ and function in the body?
";"Nerves do not control every tissue and function in the human body, although they do play a large role. There are three main ways that bodily organs and functions are controlled:

Through the central nervous system
Through the endocrine system
Through local self-regulation (which includes intracrine, autocrine, paracrine, and immune regulation)";"Nerves carry orders from the brain and spinal cord in the form of electrical signals. Nerves also help sense the state of tissues and relay this information back to the brain and spinal cord, enabling us to experience pain, pleasure, temperature, vision, hearing, and other senses. The body uses electrical signals sent along nerves to control many functions because electrical signals can travel very quickly. At the end of each nerve's axon terminals the electrical signals are converted to chemical signals which then trigger the appropriate response in the target tissue. However, the control exerted by the nervous system inevitably resides in the brain and spinal cord, an not in the nerves, which just pass along the signals. Most signals get processed in the brain, but high-risk signals are processed and responded to by the spinal cord before reaching the brain in the effect we call ""reflexes"". Although the central nervous system plays a large role in controlling the body, it is not the only system that exerts control.

thyroid hormone T3 molecule
The molecular structure of thyroid hormone (T3), which regulates the rate of energy use in the body. Public Domain Image, source: Wikipedia.
The endocrine system is a series of endocrine glands throughout the body that excrete certain chemical signals called hormones into the blood stream. The circulating blood then takes the hormones throughout the entire body where different tissues respond in characteristic ways to the hormones. The response of an organ or system to a hormone depends on how much of that hormone is present in the blood. In this way, endocrine glands can exert control over different organs and functions of the body by varying how much hormone they emit. In contrast to the central nervous system, the pathway of control for the endocrine system is purely chemical and not electrical. For example, the thyroid gland in the neck controls how quickly the body uses energy by secreting varying levels of thyroid hormone. Too much thyroid hormone, and you become restless, jittery, and unable to sleep. Too little thyroid hormone and you become sleepy, lethargic, and enable to think straight. A healthy body constantly monitors the activity level and adjusts the thyroid hormone levels as needed.

Other examples of endocrine glands are the adrenal glands, which prepare the body for facing an emergency, and the reproductive glands, which control body mass and reproduction. Hormones in the body control functions as diverse as libido, fertility, menstruation, ovulation, pregnancy, child birth, lactation, sleep, blood volume, blood pressure, blood sugar, the immune system, vertical growth in children, muscle mass, wound healing, mineral levels, appetite, and digestion. Ultimately, much of the endocrine system is subservient to the brain via the hypothalamus, but the endocrine system does operate somewhat independently using feedback loops.

Lastly, organs and functions in the body are controlled through local self-regulation. Rather than depend on the brain to dictate every single minute task, organs and cells can accomplish a lot on their own so that the brain is freed up for more important tasks. An organ can communicate regulatory signals through its interior using localized chemical signals such as paracrine hormone signalling. Typically, such hormones do not enter the blood stream, but are transported locally by simply flowing in the space between cells. This approach works because paracrine hormones are only meant to operate on nearby cells. For example, the clotting of blood and healing of wounds are controlled locally through an exchange of paracrine hormones. The organ with the highest degree of self-regulation is probably the liver. The liver hums along nicely, performing hundreds of functions at once without much direction from the rest of the body. An organ can also communicate through its interior electrochemically. For instance, the heart does not beat because a nerve is telling it to. The heart beats on its own through a cyclic wave of electrical impulses. While it is true that the brain can tell the heart to speed up or slow down, the actual beating of the heart is controlled locally.";"Also, each cell of the body has some degree of self-regulation internal to the cell itself. Some cells exert more internal control than others. For instance, white blood cells hunt down and destroy germs in a very independent fashion, as if they were autonomous organisms. Active white blood cells do not wait for the brain or a hormone to tell them to do their job. Sperm cells are so autonomous that they can continue to survive and function properly even after completely leaving the male's body.

In reality, the central nervous system, the endocrine system, and the local regulation systems are not independent, but exert control over each other in a complicated manner.";bend,brick,riding,them,hot
Cambridge;A;7707 - Accounting;2008;Aug Sep;"How do trees give earth all its oxygen?
";All of earth's oxygen does not come from trees. Rather, the atmospheric oxygen that we depend on as humans comes predominantly from the ocean. According to National Geographic, about 70% of the oxygen in the atmosphere comes from marine plants and plant-like organisms. These ocean-living plants release molecular oxygen as a waste product of photosynthesis (as do most plants). In photosynthesis, plants capture sunlight and use its energy to split carbon dioxide and water, making sugar for itself and releasing oxygen as a by-product. The dominance of ocean life as earth's top oxygen producer makes sense when you consider that the majority of the earth is covered with ocean.;Of the different types of marine life providing oxygen, the dominant class is phytoplankton. Phytoplankton are microscopic photosynthesizing organisms that live in water. Phytoplankton includes cyanobacteria, green algae, diatoms, and dinoflagellates. Although too small to be visible to the human eye by itself, when many phytoplankton clump together they look like green ocean slime. The oxygen we depend on from breath to breath is provided mostly by a vast army of invisible sea creatures.;This image shows global chlorophyll levels averaged from 1997-2006. Chlorophyll is the key chemical in plants and plant-like organisms that captures sunlight, enabling photosynthesis to release oxygen into the atmosphere. Public Domain Image, source: NASA.;official,composition,before,add,bend
Edexcel;O;5014 - Environmental Management;2016;May Jun;How does the outer layer of skin cells on my finger detect when I am touching an object?;The outer layer of skin cells on your finger does not detect anything. The outer layer of your skin contains cells that are dead. In fact, the outermost 25 to 30 cell layers of your skin consist of dead cells that do nothing beyond providing a physical barrier that keeps water in and chemicals out. Furthermore, all regular skin cells (keratinocytes), whether alive or dead, don't detect physical sensations since they are not designed to do this. Physical sensations that are experienced when touching an object are detected by special receptors that sit in lower layers of the skin.;"Such sensations include pressure, temperature, vibration, and skin stretching. Therefore, in order for you to detect a physical effect, it must first pass through all the layers of dead skin. For instance, in order for you to feel that a frying pan is hot, heat from the pan must travel through the outer layers of dead skin before it can reach the thermoreceptors nestled in the lower layers of the skin. The thermoreceptors then detect the heat and in response send an electrical signal along your nerves to your brain.

If you lightly, directly touch a solid object that is at the same temperature as your finger, the physical sensation that you detect is pressure. It is therefore the sensation of pressure that lets you feel the presence of the object. For instance, close your eyes and slowly move your finger towards the wall. At some point, you can feel that your finger tip is touching the wall. But how exactly does it do this?";When your finger gets very close to the wall, the atoms that make up the outermost skin cells of your finger start to significantly overlap with the atoms of the wall. When this starts happening, the Pauli exclusion principle of quantum theory (which states that no two electrons can be in the exact same state at the same place at the same time) leads to a repulsive electromagnetic force. This repulsive force pushes back on the atoms that make up the outer layer of your skin. This repulsive force is strong enough that it halts the forward movement of the outer layer of skin. This layer therefore gets in the way of the lower layers of skin that are still trying to move towards the wall along with the rest of your hand. In this way, pressure is transmitted through the outer dead layers of skin cells to the inner layers where the pressure can be detected. As long as you are using your muscles to push your finger toward the wall and as long as the wall is pushing back without breaking, all the layers of skin on the tip of your finger are sandwiched between these two forces and continue to experience increased pressure. Therefore, certain nerve endings in your skin called mechanoreceptors will continue to detect the pressure and continue to send the corresponding signals to your brain, creating the ongoing perception of touching the wall.;parallel,iron,trap,teach,brought
Cambridge;A;4024 - Mathematics D;2004;May Jun;"How long before genetic sequencing is able to tell us exactly how our children will look and act?
";Genetic sequencing will never be able to perfectly predict an organism's appearance and behavior for the simple reason that genes are not the only thing that determine biology. There are three basic factors that determine the nature of an organism: 1) genetics, 2) unconscious environmental factors, 3) learned and conscious behavior. Your genes only directly determine basic biological properties such as the number of eyes, the shape of bones, and gender. Your genes do not determine exactly where every mole will grow, how obese you will be, or which baseball team you will route for.;"The textbook Developmental Biology by Russ Hodge states, ""Development is constantly influenced by subtle events in the environment, and many of an organism's features are not determined by genes. For example, every human embryo is programmed to develop fingerprints, but the precise patterns they form are determined by tiny, random events that vary from individual to individual.""

Unconscious environmental factors affected who you are even before you were born. Many birth defects are caused by the exposure of the fetus to a harmful substance or by the pregnant mother providing insufficient vitamins. A damaging blow to a boy's gonads can, if untreated, reduce the levels of testosterone and thereby drastically influence the boy's physical appearance upon hitting puberty. Beyond the influence of nutrient levels and exposure to chemicals, the simple randomness of life affects your biological make-up. Identical twins have almost the exact same set of genes, but they don't have every hair in identically the same place. While genes dictate that there is (or is not) hair on your head, they do not dictate the exact location of every hair. Rather, the complex, random nature of chemistry plays a role. As a metaphor, consider the case where two identical cups of water are poured in exactly the same way onto two identical floors. While the average shape, depth, and size of the resulting puddles will match well, microscopic features of the puddles will be quite distinct. The individual molecules of both puddles will definitely not be in the exact same locations. Aside from physical environmental factors, unconscious psychological factors also play a role. A girl that grew up around pet snakes will most likely not shriek in terror as an adult at the sight of a snake.

Learned and conscious behavior also play a large role in who you are. Children grow up to speak very much like their parents. A boy who has a father that loves baseball and engages him in the sport will likely grow up to do the same with his child. While innate programming does tend to lead boys to plays with cars and girls to play with dolls, some of the child's gender behavior is learned from the prevailing cultural norms. Parents, teachers, friends, extracurricular activities, religious routines, books, and movies all play a role in shaping us. The act of learning not only affects your mind and emotions, but can also influence your body. For instance, a girl who does gymnastics has a more developed upper-body muscle structure than other girls her age. An avid guitar player develops finger calluses. Furthermore, humans are not robots that are programmed by genes and parents. Rather, as conscious, intelligent creatures, you also behave certain ways because you want to, despite the influence of your genes and your environment. For instance, alcoholism is often passed down continually through a family's generations because of its strong genetic and environmental links. But some children born into such a family line grow up and decide to break the generational cycle of alcoholism. They use their conscious choice to fight against their inherited and acquired alcoholic tendencies because they are aware of the harm it causes. Conscious choice opens the door for a person to learn new behavior patterns despite their genes and environment. Parents of identical twins discover that the twins develop different personalities, mannerisms, interests and hobbies after years of different conscious choices.

Even if your genes were the only thing that determined your appearance and personality, there would still be variability between people with identical genes. The reason for this is that your genes do not determine your biology in a strictly linear, forward fashion. Your body is not built as an exact replica of a blueprint contained in our DNA. Human biology is both a coded pattern and an emergent phenomenon. If you drop a number of identical balls through a grid of pegs known as a Galton box, a bell curve results. The bell curve is a purely emergent phenomenon, meaning that each ball does not contain a map of the final bell curve. The bell curve emerges after each ball interacts with the pegs. In a similar way, your genes only determine who you are in so far as their information is modified by the process known as gene expression. The gene expression process involves many steps, and there are feedback loops among these steps. This means that external factors can modulate how your genes get expressed. A journal article titled ""RNA regulation of epigenetic processes"" by J.S. Mattick and collaborators states, ""It is also evident that RNA editing is a primary means by which hardwired genetic information in animals can be altered by environmental signals"". In an extreme example of genetic expression, if a person's cells are insensitive to sex hormones, a person with male DNA (XY in every cell) can end up looking and feeling like a woman, a condition known as androgen insensitivity. Because of the effects of unconscious environmental factors, learning, free choice, and non-linear gene expression; genetic sequencing will never be able to completely predict a child's appearance and behavior.";"One other item worth noting is that ""genetic sequencing"" is not the same as ""gene decoding"". Sequencing simply records the positions of the atoms along the length of the DNA but does not derive meaning from the sequence. The genes still have to be decoded in order to understand the effect of each gene. The complex decoding process is being carried out by a large field of biologists and is currently incomplete. The situation is like discovering a recipe for ancient Egyptian bread carved into the walls of a recently unearthed tomb, and the recipe is in an unknown script. Just because you have copied down the figures on the wall into your notebook does not mean that you have any idea how to read the recipe, let alone properly bake Egyptian bread according to the recipe. Complete sequencing of the human genome has been accomplished. Complete decoding has not.";standard,sister,except,seat,browserling
Edexcel;O;7094 - Bangladesh Studies;2019;Aug Sep;"How long does it take our eyes to fully adapt to darkness?
";"First of all, it is impossible to see anything at all in total darkness. Total darkness means the absence of light, and our eyes depend on light to see. With that said, it is quite rare to be in a situation with total darkness, even at night. City lights reflecting off of clouds, car headlamps, the moon, the stars, and even the airglow of the night sky itself all fill the night with faint light. Most of our experiences with darkness are actually cases of partial darkness; where there is still a small amount of light present. With enough time, our eyes can adapt and see the low levels of light present in partial darkness.";"Human eyes take several hours to fully adapt to darkness and reach their optimal sensitivity to low light conditions. The quickest gains in vision sensitivity are made in the first few minutes after exposure to darkness. For this reason, many people think that after only a few minutes, their eyes have reached their peak sensitivity. But several hours into darkness exposure, the human eyes continue to adapt and make small gains in sensitivity.

visual dark adaption curve
Typical sensitivity of human eyes as they adapt to darkness. The cone cells adapt within 10 minutes but then are overtaken in performance by the rod cells. The rod cells can take several hours to become completely dark adapted and reach their peak sensitivity to low light conditions. Note that this plot is only representative of the general trends. The actual curve varies from person to person, from one spot on the eye to the next, and from one day to the next. Public Domain Image, source: Christopher S. Baird.
There are several factors that contribute to our eyes adapting to darkness. As described in the textbook Optometry: Science Techniques and Clinical Management, edited by Mark Rosenfield and Nicola Logan, the three main players in dark adaptation are the pupil, the cone cells, and the rod cells.

The pupil is the dark hole near the front of your eye that lets the light into your eye so that the light can form an image on the back (the retina). The iris that surrounds the pupil contains muscles that control the size of the pupil. When confronted with low light conditions, the iris expands the pupil as wide as possible. This dilation lets as much light as possible into the eye so that sensitivity is enhanced. The pupil's contribution to dark adaptation takes only a few seconds to a minute to be completed.

The cones cells along the retina are responsible for color vision. Similar to a grid of pixels in a digital camera, a vast spatial array of cone cells along the retina detect the different bits of colored light that make up the image we are seeing. Human eyes have red-, green-, and blue-detecting cone cells. All other colors that exist are experienced by humans as a mixture of red, green and blue. The cone cells themselves can adapt to partial darkness. Cone cells contain rhodopsin, which is one of many light-sensitive chemicals. Rhodopsin is very sensitive to light and is the primary chemical used by the cones when seeing in low light conditions. The problem is that rhodopsin is so sensitive to light that under normal light levels, the light deforms and deactivates (photobleaches) this chemical. Most of the day, when we are walking around in normal light, the rhodopsin in our eyes is deactivated. Upon exposure to darkness, the rhodopsin is able to regenerate and reactivate, becoming sensitive again to light and improving our night vision. But this regeneration process takes time. Cone cells take about 10 minutes to adapt to the dark.";"Lastly, the rod cells in our eyes are responsible for black and white vision. They are the heavy-hitters when it comes to vision in low light conditions. The rods in our eyes achieve this great night vision through several mechanisms:

Like cones, rod cells contain rhodopsin, the chemical that is highly sensitive to light. In fact, rod cells rely more heavily on rhodopsin than cone cells, leading each single rod cell to be about 100 to 1000 times as sensitive as a single cone cell once fully adapted.
There are far more rods on the retina (100 million) than there are cones (5 million).
Several rods all connect to the same output signal (the same interneuron). This fact allows lower levels of light to be detected at the cost of image resolution.
Rods respond slowly to light (they collect light over long time periods). This slow response means that lower levels of light can be detected at the cost of sensing rapid changes in time.
Cone cells take several hours to become completely dark adapted. Expert naked-eye astronomers know this fact well. They will give their eyes several hours to adapt instead of a few minutes in order to maximize their vision of the dim stars. In summary, upon exposure to darkness, our pupils dilate in a matter of seconds, our cones adapt in 10 minutes, and our rods adapt completely after several hours.";dropped,driven,of,tight,liquid
Cambridge;O;5014 - Environmental Management;2019;Jan Feb;"How much water can a camel store in its hump?
";Camels do not store water in their humps. Instead, camels use the humps to store energy-rich fat deposits. Many animals, including humans, use body fat as an energy storage. Unique to a camel, however, is the fact that it stores the fat in a hump up on top instead of around the belly or limbs. It does this to stay cool. ;Fat has a natural tendency to insulate heat, acting like a blanket to bodies that are covered in fat. Being a hot-climate animal, a camel would waste energy trying to cool down if its fat were wrapped around its body. Instead, by placing the fat in a hump that is out of the way, the camel can stay as cool as possible while still having an energy reserve. Think of it like a tourist from northern Siberia with a coat stuffed full of snacks just stepping off the plane in the Sahara Desert. What does he immediately do? He takes off his coat and slings it over his shoulder. He still wants to lug around his coat full of snacks, he just does not want it wrapped around him making him hot.;To handle hot and arid conditions, camels have many interesting adaptations. Among them is the ability to go a long time without drinking water and the ability to drink large quantities of water very quickly. A typical camel can drink 200 liters (53 gallons) of water in three minutes. Perhaps this is where the misunderstanding arises that camels store water in their humps. After all, the water has to go somewhere. In reality, the water goes into the animal's digestion and circulatory system.;chance,human,kept,though,directly
Edexcel;O;2281 - Economics,;2004;Jan Feb;How strong does a non-toxic odor have to be before it damages your sense of smell?;The sense of smell does not really work that way. If an odor, such as the smell of a strawberry, is not chemically reactive enough to do damage, your sense of smell will remain unharmed no matter how strong the smell becomes. In this way, the sense of smell is very different from the sense of sight and the sense of hearing.;"The brightness of a light is a measure of its energy content. A brighter beam of light carries more energy. Therefore, light can be bright enough that it dumps enough energy into your eyes to damage them. Similarly, the loudness of a sound is a measure of its energy content. A louder sound carries more energy. In this way, sound can be loud enough to dump enough energy into your ears to cause damage. In contrast, the strength of a particular odor is not a measure of its energy content, but is a measure of the number of odor molecules in a given volume. A stronger concentration of a particular order that reaches your nose is not dumping more energy in your nose. It is dumping more odor molecules in your nose. Your nose contains an array of smell receptors (olfactory nerves). When the odor molecules bind to these smell receptors, they trigger a signal to the brain telling it that something was smelled. The more odor molecules there are present, the more binding there is to the smell receptors, and the stronger the smell signal that reaches your brain.

If a particular non-toxic odor is too strong, this just means that it carries too many odor molecules for your sense receptors to bind to, and not that it is dumping too much energy into your nose. Therefore, if a particular odor is not toxic, it will do no damage no matter how strong the smell becomes. If the smell of bacon gets too strong, you simply stop noticing that the smell is getting stronger because your sense receptors are saturated, but no damage is done and no pain is felt.

Odors that are chemically reactive enough will affect your sense receptors at any concentration. At low concentrations, the effect is minimal. At higher concentrations, the inhaled toxic chemical can lead to nasal irritation, long-term damage, and even cancer. For example, hydogen sulfide gives a recognizable rotten-egg smell at a concentration of about 5 parts per billion, becomes annoying at about 100 parts per billion, causes irritation at about 10,000 parts per billion, and causes lasting damage and even death at higher concentrations.";"In the textbook Taste and Smell Disorders edited by Allen M. Seiden, the authors Lloyd Hastings and Marian L. Miller write, ""Among the many causes leading to decrements in olfactory function, exposure to toxic compounds, especially those airborne, represents a small but important percentage of the cases presenting for evaluation...Exposure to levels of irritants sufficient to alter olfactory function usually occurs only after accidental exposure.""";teach,pay,height,feel,roll
